Districts,,,,,,,,,,
District,Revenue Division,Administrative Head,Rural Local Body Head,Emergency Office,Emergency Contact Pattern,Official Portal,Status,Verification Status,Last Verified,Source URL
Mumbai City,Konkan,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Mumbai Suburban,Konkan,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Thane,Konkan,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Palghar,Konkan,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Raigad,Konkan,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Ratnagiri,Konkan,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Sindhudurg,Konkan,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Pune,Pune,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Satara,Pune,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Sangli,Pune,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Solapur,Pune,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Kolhapur,Pune,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Nashik,Nashik,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Dhule,Nashik,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Nandurbar,Nashik,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Jalgaon,Nashik,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Ahilyanagar,Nashik,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Jalna,Chhatrapati Sambhajinagar,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Beed,Chhatrapati Sambhajinagar,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Dharashiv,Chhatrapati Sambhajinagar,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Latur,Chhatrapati Sambhajinagar,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Nanded,Chhatrapati Sambhajinagar,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Parbhani,Chhatrapati Sambhajinagar,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Hingoli,Chhatrapati Sambhajinagar,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Amravati,Amravati,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Akola,Amravati,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Washim,Amravati,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Buldhana,Amravati,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Yavatmal,Amravati,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Nagpur,Nagpur,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Wardha,Nagpur,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Bhandara,Nagpur,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Gondia,Nagpur,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Chandrapur,Nagpur,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
Gadchiroli,Nagpur,District Collector / District Magistrate,"Chief Executive Officer, Zilla Parishad",District Emergency Operation Centre,1077 / district-specific line,Official district portal,Active,Needs contact extraction,2026-07-13,https://plan.maharashtra.gov.in/en/36-districts/
