taxonomy_code,action_key,action_kind,label,description,target_value,priority,source_key,source_locator,source_as_of,last_checked_on,source_status,owner_approved_for_display,is_active
ELE-007,ele_exposed_wire_112,call,Call 112,Use emergency response for an exposed live wire or immediate electrical danger.,112,10,erss_112,Emergency number,2026-07-24,2026-07-24,official_current,true,true
ELE-007,ele_exposed_wire_1916,call,Call BMC 1916,Notify the BMC central control room after moving away from the hazard.,1916,20,bmc_disaster_management,Central Control Room Services,2026-07-24,2026-07-24,official_current,true,true
ELE-008,ele_short_circuit_112,call,Call 112,Use emergency response for sparking or an electrical short circuit creating immediate danger.,112,10,erss_112,Emergency number,2026-07-24,2026-07-24,official_current,true,true
ELE-008,ele_short_circuit_1916,call,Call BMC 1916,Notify the BMC central control room after moving away from the hazard.,1916,20,bmc_disaster_management,Central Control Room Services,2026-07-24,2026-07-24,official_current,true,true
ELE-012,ele_cable_theft_police,browser,Open Mumbai Police online complaint,Use this official form only for a minor or non-emergency complaint; report a major crime at a police station.,https://www.mumbaipolice.gov.in/OnlineComplaints?ps_id=3,20,mumbai_police_online,Online complaint form,2026-07-24,2026-07-24,official_current,true,true
ELE-012,ele_cable_theft_112,call,Call 112,Call emergency response if damaged or stolen cable creates immediate danger.,112,10,erss_112,Emergency number,2026-07-24,2026-07-24,official_current,true,true
BLD-004,bld_collapse_risk_112,call,Call 112,Leave the unsafe area and call emergency response for imminent collapse risk.,112,10,erss_112,Emergency number,2026-07-24,2026-07-24,official_current,true,true
BLD-004,bld_collapse_risk_1916,call,Call BMC 1916,Notify the BMC central control room after moving to safety.,1916,20,bmc_disaster_management,Central Control Room Services,2026-07-24,2026-07-24,official_current,true,true
LAW,law_immediate_danger_112,call,Call 112 for immediate danger,Use emergency response when a crime or safety threat is in progress or someone is at immediate risk.,112,10,erss_112,Emergency number,2026-07-24,2026-07-24,official_current,true,true
LAW,law_non_emergency_police,browser,Open Mumbai Police online complaint,Use this official form only for a minor or non-emergency complaint; report a major crime at a police station.,https://www.mumbaipolice.gov.in/OnlineComplaints?ps_id=3,50,mumbai_police_online,Online complaint form,2026-07-24,2026-07-24,official_current,true,true
LAW-006,law_domestic_violence_181,call,Call Women Helpline 181,Contact the Maharashtra Women Helpline for protection and support.,181,20,maharashtra_wcd,Women Helpline,2025-09-29,2026-07-24,official_current,true,true
LAW-007,law_sexual_violence_181,call,Call Women Helpline 181,Contact the Maharashtra Women Helpline for protection and support.,181,20,maharashtra_wcd,Women Helpline,2025-09-29,2026-07-24,official_current,true,true
LAW-008,law_women_safety_181,call,Call Women Helpline 181,Contact the Maharashtra Women Helpline for protection and support.,181,20,maharashtra_wcd,Women Helpline,2025-09-29,2026-07-24,official_current,true,true
LAW-009,law_child_protection_1098,call,Call Child Helpline 1098,Contact the Maharashtra Child Helpline for a child-protection concern.,1098,20,maharashtra_wcd,Child Helpline,2025-09-29,2026-07-24,official_current,true,true
LAW-019,law_cybercrime_1930,call,Call Cybercrime Helpline 1930,Call 1930 promptly for cyber-enabled financial fraud or urgent cybercrime assistance.,1930,10,national_cybercrime,Financial cyber fraud helpline,2026-07-24,2026-07-24,official_current,true,true
LAW-019,law_cybercrime_portal,browser,Open the Cyber Crime Reporting Portal,Continue on the official national portal to report cybercrime.,https://www.cybercrime.gov.in/,20,national_cybercrime,National reporting portal,2026-07-24,2026-07-24,official_current,true,true
EMR,emergency_112,call,Call 112 now,Move to safety and contact emergency response. JagrukSetu is not an emergency dispatch service.,112,10,erss_112,Emergency number,2026-07-24,2026-07-24,official_current,true,true
EMR,emergency_bmc_1916,call,Call BMC 1916,Contact the BMC central control room for municipal emergency coordination.,1916,20,bmc_disaster_management,Central Control Room Services,2026-07-24,2026-07-24,official_current,true,true
SOC,social_support_grievance,browser,Open Maharashtra grievance support,Continue on the official state grievance portal for social-support and administrative service issues.,https://grievances.maharashtra.gov.in/en,50,maharashtra_grievance,Public grievance portal,2026-07-24,2026-07-24,official_current,true,true
SOC-004,soc_child_begging_1098,call,Call Child Helpline 1098,Contact the Maharashtra Child Helpline for a child-protection concern.,1098,20,maharashtra_wcd,Child Helpline,2025-09-29,2026-07-24,official_current,true,true
SOC-005,soc_child_labour_1098,call,Call Child Helpline 1098,Contact the Maharashtra Child Helpline for a child-protection concern.,1098,20,maharashtra_wcd,Child Helpline,2025-09-29,2026-07-24,official_current,true,true
SOC-006,soc_domestic_violence_181,call,Call Women Helpline 181,Contact the Maharashtra Women Helpline for protection and support.,181,20,maharashtra_wcd,Women Helpline,2025-09-29,2026-07-24,official_current,true,true
SOC-007,soc_women_shelter_181,call,Call Women Helpline 181,Contact the Maharashtra Women Helpline for protection and support.,181,20,maharashtra_wcd,Women Helpline,2025-09-29,2026-07-24,official_current,true,true
SOC-008,soc_unaccompanied_child_1098,call,Call Child Helpline 1098,Contact the Maharashtra Child Helpline for a child-protection concern.,1098,20,maharashtra_wcd,Child Helpline,2025-09-29,2026-07-24,official_current,true,true
SOC-009,soc_trafficking_112,call,Call 112 for immediate danger,Use emergency response when trafficking is in progress or someone is at immediate risk.,112,10,erss_112,Emergency number,2026-07-24,2026-07-24,official_current,true,true
SOC-011,soc_self_harm_112,call,Call 112 for immediate danger,Use emergency response when a person is at immediate risk of self-harm.,112,10,erss_112,Emergency number,2026-07-24,2026-07-24,official_current,true,true
SOC-019,soc_forced_labour_112,call,Call 112 for immediate danger,Use emergency response when exploitation is in progress or someone is at immediate risk.,112,10,erss_112,Emergency number,2026-07-24,2026-07-24,official_current,true,true
COR,corruption_acb_portal,browser,Open Maharashtra ACB complaint,Continue on the independent Maharashtra Anti-Corruption Bureau complaint portal.,https://acb.maharashtra.gov.in/bribe-complaint,20,maharashtra_acb,Bribe complaint form,2026-07-24,2026-07-24,official_current,true,true
COR,corruption_acb_1064,call,Call Maharashtra ACB 1064,Contact the independent Maharashtra Anti-Corruption Bureau toll-free helpline.,1064,10,maharashtra_acb,Toll-free helpline,2026-07-24,2026-07-24,official_current,true,true
